source_field,target_field,action
nid,nid,ignore
title,title,map
body,body,map
created,created,map
changed,changed,map
status,status,map
uid,uid,map
language,language,map
comment,comment,map
promote,promote,ignore
sticky,sticky,ignore
field_article_image,field_whitepaper_image,map
field_article_category,field_whitepaper_category,map
field_article_tags,field_whitepaper_keywords,map
field_author,field_whitepaper_author,map
field_published_date,field_whitepaper_date,map
field_article_summary,field_whitepaper_summary,map
field_article_downloads,field_download_count,ignore
field_internal_notes,field_internal_notes,ignore
